,,,,
Year,Pounds,Metric Tons,Dollars,Collection
2014,"9,551,212,922","4,332,402","5,567,819,964",Commercial
2015,"9,749,097,931","4,422,162","5,353,777,517",Commercial
2016,"9,650,149,473","4,377,279","5,476,587,683",Commercial
2017,"9,953,281,725","4,514,779","5,804,811,061",Commercial
2018,"9,419,963,011","4,272,867","5,590,026,928",Commercial
2019,"9,365,678,619","4,248,244","5,551,639,793",Commercial
2020,"8,394,936,690","3,807,918","4,833,044,957",Commercial
2021,"8,577,637,924","3,890,791","6,519,368,982",Commercial
2022,"8,298,168,895","3,764,025","5,842,895,346",Commercial
2023,"8,497,214,360","3,854,311","5,120,410,531",Commercial
2024,"7,722,673,669","3,502,982","4,898,877,788",Commercial
